 nm      %
------------
146.6	0.3
148.3	0.3
150.0	0.3
151.7	0.2
153.4	0.2
155.1	0.2
156.7	0.1
158.4	0.1
160.1	0.1
161.8	0.1
163.5	0.1
165.2	0.1
166.9	0.2
168.6	0.2
170.3	0.2
172.0	0.1
173.6	0.1
175.3	0.0
177.0	0.0
178.7	0.1
180.4	0.1
182.1	0.1
183.8	0.1
185.5	0.1
187.2	0.1
188.9	0.0
190.6	0.1
192.2	0.1
193.9	0.1
195.6	0.0
197.3	0.0
199.0	0.0
200.7	0.0
202.4	0.0
204.1	0.0
205.8	0.0
207.5	0.0
209.1	0.0
210.8	0.0
212.5	0.0
214.2	0.0
215.9	0.0
217.6	0.0
219.3	0.0
221.0	0.0
222.7	0.0
224.4	0.1
226.0	0.1
227.7	0.1
229.4	0.1
231.1	0.1
232.8	0.1
234.5	0.1
236.2	0.1
237.9	0.1
239.6	0.1
241.3	0.1
243.0	0.1
244.6	0.0
246.3	0.1
248.0	0.1
249.7	0.1
251.4	0.1
253.1	0.1
254.8	0.1
256.5	0.1
258.2	0.1
259.9	0.1
261.5	0.1
263.2	0.0
264.9	0.0
266.6	0.0
268.3	0.0
270.0	0.0
271.7	0.0
273.4	0.1
275.1	0.1
276.8	0.1
278.4	0.1
280.1	0.1
281.8	0.1
283.5	0.1
285.2	0.1
286.9	0.1
288.6	0.0
290.3	0.0
292.0	0.0
293.7	0.0
295.4	0.0
297.0	0.1
298.7	0.1
300.4	0.1
302.1	0.1
303.8	0.1
305.5	0.1
307.2	0.1
308.9	0.1
310.6	0.0
312.3	0.0
313.9	0.0
315.6	0.0
317.3	0.0
319.0	0.0
320.7	0.0
322.4	0.0
324.1	0.0
325.8	0.0
327.5	0.0
329.2	0.0
330.8	0.0
332.5	0.0
334.2	0.1
335.9	0.1
337.6	0.1
339.3	0.1
341.0	0.1
342.7	0.1
344.4	0.0
346.1	0.0
347.8	0.1
349.4	0.1
351.1	0.1
352.8	0.1
354.5	0.1
356.2	0.1
357.9	0.1
359.6	0.1
361.3	0.1
363.0	0.0
364.7	0.0
366.3	0.0
368.0	0.1
369.7	0.1
371.4	0.1
373.1	0.1
374.8	0.1
376.5	0.1
378.2	0.1
379.9	0.1
381.6	0.2
383.2	0.2
384.9	0.3
386.6	0.3
388.3	0.3
390.0	0.3
391.7	0.3
393.4	0.3
395.1	0.3
396.8	0.3
398.5	0.4
400.2	0.4
401.8	0.5
403.5	0.5
405.2	0.6
406.9	0.6
408.6	0.7
410.3	0.7
412.0	1.0
413.7	1.1
415.4	1.3
417.1	1.4
418.7	1.9
420.4	2.0
422.1	2.6
423.8	2.8
425.5	3.9
427.2	4.5
428.9	6.2
430.6	7.9
432.3	10.3
434.0	12.7
435.6	16.3
437.3	19.2
439.0	23.6
440.7	26.1
442.4	30.6
444.1	34.2
445.8	38.6
447.5	40.8
449.2	43.2
450.9	44.4
452.6	46.8
454.2	47.7
455.9	48.9
457.6	49.2
459.3	49.7
461.0	49.3
462.7	47.7
464.4	46.8
466.1	44.6
467.8	43.4
469.5	40.7
471.1	39.6
472.8	37.1
474.5	36.1
476.2	34.2
477.9	33.4
479.6	32.1
481.3	31.3
483.0	30.0
484.7	29.0
486.4	27.5
488.0	26.5
489.7	25.1
491.4	24.2
493.1	22.9
494.8	22.2
496.5	21.8
498.2	21.5
499.9	21.6
501.6	21.8
503.3	22.7
504.9	23.8
506.6	25.9
508.3	27.8
510.0	31.8
511.7	34.6
513.4	38.4
515.1	40.9
516.8	45.2
518.5	48.3
520.2	53.7
521.9	57.4
523.5	63.6
525.2	67.2
526.9	72.9
528.6	76.2
530.3	80.7
532.0	83.4
533.7	86.9
535.4	89.0
537.1	91.8
538.8	93.5
540.4	95.6
542.1	96.7
543.8	98.1
545.5	98.9
547.2	99.8
548.9	99.8
550.6	100.0
552.3	99.8
554.0	99.6
555.7	99.0
557.3	98.4
559.0	97.8
560.7	96.8
562.4	96.1
564.1	95.4
565.8	94.7
567.5	93.5
569.2	92.4
570.9	91.1
572.6	90.1
574.3	88.6
575.9	87.4
577.6	86.0
579.3	84.9
581.0	83.4
582.7	82.4
584.4	81.5
586.1	81.3
587.8	80.9
589.5	81.1
591.2	80.9
592.8	80.7
594.5	80.2
596.2	79.2
597.9	78.4
599.6	77.2
601.3	75.9
603.0	74.3
604.7	72.6
606.4	70.8
608.1	69.3
609.7	67.5
611.4	65.7
613.1	64.1
614.8	62.5
616.5	61.1
618.2	59.4
619.9	58.3
621.6	57.0
623.3	55.8
625.0	54.0
626.7	53.0
628.3	51.4
630.0	50.2
631.7	48.7
633.4	47.9
635.1	46.7
636.8	45.8
638.5	44.5
640.2	43.8
641.9	42.3
643.6	41.5
645.2	39.9
646.9	38.5
648.6	35.8
650.3	33.7
652.0	30.2
653.7	27.3
655.4	23.0
657.1	19.2
658.8	15.4
660.5	12.0
662.1	8.6
663.8	6.5
665.5	4.3
667.2	3.5
668.9	2.0
670.6	1.7
672.3	1.0
674.0	0.9
675.7	0.5
677.4	0.4
679.1	0.2
680.7	0.2
682.4	0.1
684.1	0.1
685.8	0.1
687.5	0.1
689.2	0.1
690.9	0.1
692.6	0.0
694.3	0.0
696.0	0.0
697.6	0.0
699.3	0.0
701.0	0.0
702.7	0.0
704.4	0.0
706.1	0.0
707.8	0.0
709.5	0.0
711.2	0.0
712.9	0.0
714.5	0.0
716.2	0.0
717.9	0.0
719.6	0.0
721.3	0.0
723.0	0.0
724.7	0.0
726.4	0.0
728.1	0.0
729.8	0.0
731.5	0.0
733.1	0.0
